,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
⏧,electric.gnd_star,\elinters,,,,,,
⍾,electric.bell,,,,,,,
⎄,sym.combosition,,,,,,,
↊,special.flip_2,,,,,,,
↋,special.flip_3,,,,,,,
,,,,,,,,
 ,space.regular,,,,,,,
 ,space.regular_nobreak,\ ,,&NonBreakingSpace,&nbsp,,,
 ,space.en,\enspace,,,&ensp,,,
 ,space.em,\quad,,,&emsp,,,
 ,space.three_per_em,,,,&emsp13,,,
 ,space.four_per_em,,,,&emsp14,,,
 ,space.six_per_em,,,,,&emsp16,,
 ,space.figure,,,,&numsp,,,
,space.punctuation,,,,&puncsp,,,
 ,space.thin,\thinspace,"\,",&ThinSpace,&thinsp,,,
,space.hair,,,&VeryThinSpace,&hairsp,,,
 ,space.thin_nobreak,,,,,,,
 ,space.math_medium,,,&MediumSpace,,&emsp418,,
　,space.ideographic,,,,,,,
​,space.zerowidth,,,&ZeroWidthSpace,,&zwsp,,
‌,space.zerowidth_nonjoiner,,,,&zwnj,,,
‍,space.zerowidth_joiner,,,,&zwj,,,
⁠,space.zerowidth_wordjoiner,,,&NoBreak,,&zwwj,,
,,,,,,,,
¤,sym.currency.general,,,&curren,,,,
¢,sym.currency.cent,,,&cent,,,,
£,sym.currency.pound,\mathsterling,\pounds,&pound,,,,
€,sym.currency.euro,,\euro,&euro,,,,
$,sym.currency.dollar,\mathdollar,,,,,,
¥,sym.currency.yen,\mathyen,,&yen,,,,
₿,sym.currency.bitcoin,,,,,,,
₹,sym.currency.rupee,,,,,,,
₤,sym.currency.lira,,,,,,,
₱,sym.currency.peso,,,,,,,
₽,sym.currency.ruble,,,,,,,
₺,sym.currency.lira_turkish,,,,,,,
₩,sym.currency.won,,,,,,,
,,,,,,,,
©,sym.copyright,\copyright,,&copy,&COPY,,(C),
℗,sym.copyright_sound,,,&copysr,,,(P),
®,sym.registered,\textregistered,,&reg,&REG,,(R),
™,sym.trademark,,,&trade,,TM,,
℠,sym.service,,,,,,,
№,sym.number,,,&numero,,No,,
¶,sym.pilcrow,\mathparagraph,\P,&para,,P,,
⁋,sym.pilcrow_reverse,,,,,,,
§,sym.section,\mathsection,\S,&sect,,,,
�,sym.replacement,,,,,,,
￼,sym.object,,,,,,,
·,sym.dot_middle,\cdotp,,&CenterDot,&middot,,,
ª,sym.ordinal_female,,,&ordf,,,,
º,sym.ordinal_male,,,&ordm,,,,
°,sym.degree,,,&deg,,,,
†,sym.dagger,\dag,,&dagger,,dag1,dag,
‡,sym.dagger_double,\ddag,,&ddagger,&Dagger,dag2,,
✓,sym.checkmark,\checkmark,,,,marky,,
✔,sym.checkmark_bold,,,,,Marky,,
✗,sym.crossmark,,,,,markn,,
✘,sym.crossmark_bold,,,,,Markn,,
☐,sym.box_empty,,,,,box,[ ],
☑,sym.box_check,,,,,boxy,[y],
☒,sym.box_cross,,,,,boxn,[n],
¡,sym.excalation_inv,,,&iexcl,,,!inv,
¿,sym.question_inv,,,,,,?inv,
‽,sym.interrobang,,,,,,?!,
‐,sym.dash,\mathhyphen,,&dash,&hyphen,,,
–,sym.dash_en,,,&ndash,,,,
—,sym.dash_em,,,&mdash,,,,
―,sym.bar_horizontal,\horizbar,,&horbar,,,,
|,sym.bar_vertical,\vert,,,,,,
